,age,portion,item,risk,why,term,bearing,types,profit_exp,conf,res_1,res_2,tf1,tf2,tf3,tf4,stock_type,risk_level
481,23-30,81-100%,0-10k,0-5%,2. Only source of profit,Long (More than 3 years),3,['Fund'],20-40%,10,1. Sell everything and give up,1. Sell everything and gain profit,Short term,True,Don't know,False,"['Airline', 'Energy & Resources', 'Social Media', 'Telecommunication']",medium
482,>65,21-40%,10-20k,20-30%,2. Only source of profit,Quite Long (1~3 year),9,['Individual Stocks'],20-40%,10,"4. Volatility is inevitable, so only sell the weak assets",1. Sell everything and gain profit,Long term,Don't know,True,False,"['Luxury goods', 'BlockChain', 'Semiconductors', 'Cloud Computing', 'Real Estate', 'Entertainment', 'Franchise', 'Energy & Resources']",medium
483,>65,41-60%,20-40k,0-5%,2. Only source of profit,Very short (1 month),5,"['ETF', 'Individual Stocks', 'Fund']",10-20%,8,1. Sell everything and give up,"3. Take out 50%, and wait for further growth",Don't know,True,True,True,"['Retail', 'Social Media', 'Franchise', 'Semiconductors', 'BlockChain', 'Entertainment', 'Energy & Resources', 'Real Estate', 'Airline']",medium
484,46-65,61-80%,10-20k,0-5%,1. Stock as a part of portfolio,Short Term (within 3 months),9,"['Leverage', 'Individual Stocks', 'ETF', 'Fund']",20-40%,3,5. Remain calm and keep the portfolio as is,"3. Take out 50%, and wait for further growth",Long term,True,Don't know,Don't know,"['Cloud Computing', 'Telecommunication', 'Semiconductors', 'Social Media', 'Entertainment', 'Airline', 'Retail', 'BlockChain']",high
485,23-30,81-100%,20-40k,10-20%,3. As a part of experience :),Regular (6month~1 year),1,"['ETF', 'Leverage', 'Individual Stocks', 'Fund']",40-80%,5,"3. Take out 50%, and wait before the rebound",5. Keep the portfolio as is,Short term,False,Don't know,False,"['Luxury goods', 'Semiconductors', 'Cloud Computing']",medium
486,23-30,61-80%,10-20k,over 30%,1. Stock as a part of portfolio,Regular (6month~1 year),8,['Individual Stocks'],>80%,4,"4. Volatility is inevitable, so only sell the weak assets",2. Sell majority of stock and take some time before re-enter,Long term,False,Don't know,True,"['Semiconductors', 'Luxury goods', 'Telecommunication', 'Real Estate', 'Retail']",medium
487,46-65,61-80%,0-10k,0-5%,1. Stock as a part of portfolio,Long (More than 3 years),9,"['ETF', 'Leverage', 'Individual Stocks', 'Fund']",>80%,7,"3. Take out 50%, and wait before the rebound",1. Sell everything and gain profit,Long term,Don't know,True,Don't know,"['Real Estate', 'Franchise']",medium
488,>65,21-40%,>80k,10-20%,3. As a part of experience :),Very short (1 month),10,['Individual Stocks'],0-10%,4,5. Remain calm and keep the portfolio as is,"4. Volatility is inevitable, so only sell the least increased assets",Long term,Don't know,Don't know,False,['Semiconductors'],medium
489,18-22,21-40%,0-10k,5-10%,2. Only source of profit,Long (More than 3 years),9,"['Fund', 'Leverage', 'ETF', 'Individual Stocks']",10-20%,8,5. Remain calm and keep the portfolio as is,5. Keep the portfolio as is,Don't know,Don't know,False,True,"['BlockChain', 'Semiconductors', 'Franchise', 'Real Estate', 'Entertainment', 'Luxury goods', 'Retail', 'Telecommunication', 'Airline', 'Traveling', 'Social Media', 'Cloud Computing']",medium
490,31-45,41-60%,40-80k,over 30%,3. As a part of experience :),Very short (1 month),7,"['Individual Stocks', 'Fund', 'ETF']",40-80%,5,5. Remain calm and keep the portfolio as is,"3. Take out 50%, and wait for further growth",Short term,Don't know,Don't know,Don't know,"['Semiconductors', 'Social Media', 'Cloud Computing', 'BlockChain', 'Entertainment', 'Energy & Resources', 'Franchise', 'Real Estate', 'Airline', 'Retail']",medium
491,>65,0-20%,10-20k,over 30%,1. Stock as a part of portfolio,Long (More than 3 years),10,"['Fund', 'Leverage', 'Individual Stocks', 'ETF']",0-10%,3,2. Sell majority of stock and take some time before re-enter,5. Keep the portfolio as is,Long term,Don't know,False,False,"['Semiconductors', 'Real Estate', 'Traveling', 'Airline']",medium
492,18-22,81-100%,40-80k,20-30%,3. As a part of experience :),Long (More than 3 years),6,"['Fund', 'Individual Stocks', 'ETF']",20-40%,3,1. Sell everything and give up,1. Sell everything and gain profit,Don't know,True,False,Don't know,"['Luxury goods', 'Semiconductors']",low
493,>65,41-60%,20-40k,5-10%,3. As a part of experience :),Quite Long (1~3 year),1,"['Individual Stocks', 'Fund', 'ETF']",>80%,3,1. Sell everything and give up,2. Sell majority of stock and take some time before re-enter,Long term,False,True,True,"['Real Estate', 'Traveling', 'Cloud Computing', 'Entertainment', 'Franchise', 'Social Media', 'BlockChain', 'Luxury goods', 'Retail', 'Airline', 'Telecommunication', 'Energy & Resources', 'Semiconductors']",low
494,23-30,21-40%,40-80k,20-30%,1. Stock as a part of portfolio,Regular (6month~1 year),10,"['Fund', 'Individual Stocks']",0-10%,7,1. Sell everything and give up,"3. Take out 50%, and wait for further growth",Don't know,True,Don't know,True,"['Entertainment', 'Airline', 'Semiconductors', 'Telecommunication', 'Retail', 'Real Estate', 'Traveling', 'Energy & Resources', 'Cloud Computing', 'Luxury goods', 'BlockChain', 'Franchise', 'Social Media']",medium
495,31-45,41-60%,0-10k,0-5%,1. Stock as a part of portfolio,Short Term (within 3 months),4,"['Fund', 'Leverage', 'Individual Stocks', 'ETF']",0-10%,8,"4. Volatility is inevitable, so only sell the weak assets","3. Take out 50%, and wait for further growth",Long term,True,False,Don't know,"['Telecommunication', 'Cloud Computing', 'Traveling', 'BlockChain', 'Airline', 'Retail', 'Luxury goods', 'Semiconductors', 'Real Estate', 'Entertainment', 'Social Media', 'Energy & Resources']",medium
496,18-22,21-40%,0-10k,over 30%,1. Stock as a part of portfolio,Regular (6month~1 year),7,"['ETF', 'Individual Stocks', 'Leverage', 'Fund']",>80%,1,1. Sell everything and give up,2. Sell majority of stock and take some time before re-enter,Short term,False,False,True,"['Retail', 'Energy & Resources', 'Entertainment', 'Franchise', 'Social Media', 'Semiconductors', 'Real Estate', 'Traveling', 'Luxury goods', 'Telecommunication', 'Cloud Computing']",medium
497,46-65,61-80%,10-20k,over 30%,2. Only source of profit,Very short (1 month),7,"['ETF', 'Fund', 'Individual Stocks']",10-20%,7,1. Sell everything and give up,1. Sell everything and gain profit,Long term,False,False,True,"['Telecommunication', 'Franchise', 'Airline', 'Retail', 'BlockChain', 'Entertainment', 'Social Media', 'Real Estate', 'Luxury goods', 'Cloud Computing']",medium
498,18-22,21-40%,10-20k,0-5%,2. Only source of profit,Regular (6month~1 year),1,['Individual Stocks'],0-10%,8,5. Remain calm and keep the portfolio as is,"3. Take out 50%, and wait for further growth",Short term,Don't know,True,True,"['Semiconductors', 'Energy & Resources', 'Cloud Computing', 'Real Estate', 'Entertainment', 'Airline', 'Retail', 'Traveling', 'Franchise', 'Luxury goods', 'Social Media']",medium
499,31-45,21-40%,0-10k,over 30%,2. Only source of profit,Long (More than 3 years),5,['Fund'],10-20%,6,"3. Take out 50%, and wait before the rebound","4. Volatility is inevitable, so only sell the least increased assets",Don't know,Don't know,Don't know,True,"['Cloud Computing', 'Luxury goods', 'Traveling']",medium
500,46-65,0-20%,20-40k,20-30%,2. Only source of profit,Long (More than 3 years),10,"['Fund', 'ETF', 'Individual Stocks', 'Leverage']",40-80%,9,2. Sell majority of stock and take some time before re-enter,"4. Volatility is inevitable, so only sell the least increased assets",Short term,Don't know,Don't know,True,"['Traveling', 'Social Media', 'Franchise', 'Airline', 'Energy & Resources', 'Retail', 'Semiconductors', 'Entertainment', 'Real Estate', 'BlockChain']",high
501,23-30,21-40%,0-10k,5-10%,1. Stock as a part of portfolio,Long (More than 3 years),7,"['Individual Stocks', 'Fund', 'ETF']",40-80%,10,5. Remain calm and keep the portfolio as is,"4. Volatility is inevitable, so only sell the least increased assets",Don't know,False,True,Don't know,"['Entertainment', 'Airline', 'Telecommunication', 'Cloud Computing', 'Retail', 'Traveling', 'Social Media', 'Semiconductors', 'BlockChain', 'Real Estate', 'Franchise', 'Luxury goods', 'Energy & Resources']",medium
502,>65,81-100%,20-40k,20-30%,1. Stock as a part of portfolio,Regular (6month~1 year),8,"['Leverage', 'Individual Stocks', 'Fund']",20-40%,4,"3. Take out 50%, and wait before the rebound",5. Keep the portfolio as is,Long term,True,Don't know,Don't know,"['Luxury goods', 'Energy & Resources', 'Semiconductors', 'BlockChain', 'Cloud Computing', 'Social Media', 'Airline', 'Real Estate', 'Traveling']",high
503,46-65,81-100%,40-80k,10-20%,2. Only source of profit,Quite Long (1~3 year),1,"['Fund', 'Leverage', 'ETF']",20-40%,4,"4. Volatility is inevitable, so only sell the weak assets",1. Sell everything and gain profit,Short term,Don't know,Don't know,Don't know,"['Airline', 'Retail', 'Franchise']",medium
504,31-45,81-100%,0-10k,over 30%,2. Only source of profit,Quite Long (1~3 year),10,['Fund'],10-20%,2,1. Sell everything and give up,5. Keep the portfolio as is,Short term,Don't know,True,True,"['Airline', 'Luxury goods', 'Energy & Resources', 'Traveling', 'BlockChain', 'Telecommunication', 'Real Estate', 'Retail']",medium
505,>65,21-40%,20-40k,5-10%,1. Stock as a part of portfolio,Very short (1 month),10,['Fund'],0-10%,9,2. Sell majority of stock and take some time before re-enter,"4. Volatility is inevitable, so only sell the least increased assets",Don't know,True,False,False,"['Entertainment', 'Energy & Resources', 'Cloud Computing', 'Retail']",medium
506,>65,0-20%,0-10k,20-30%,2. Only source of profit,Long (More than 3 years),7,"['Leverage', 'ETF', 'Fund', 'Individual Stocks']",0-10%,9,"3. Take out 50%, and wait before the rebound","4. Volatility is inevitable, so only sell the least increased assets",Don't know,True,Don't know,False,"['Luxury goods', 'Telecommunication', 'Airline', 'Social Media', 'Real Estate']",high
507,18-22,41-60%,40-80k,over 30%,1. Stock as a part of portfolio,Very short (1 month),8,"['Fund', 'Leverage', 'ETF', 'Individual Stocks']",20-40%,10,"3. Take out 50%, and wait before the rebound","4. Volatility is inevitable, so only sell the least increased assets",Don't know,False,Don't know,True,"['Telecommunication', 'Luxury goods']",medium
508,>65,41-60%,10-20k,20-30%,3. As a part of experience :),Short Term (within 3 months),9,"['Leverage', 'Individual Stocks', 'Fund', 'ETF']",20-40%,8,"4. Volatility is inevitable, so only sell the weak assets",1. Sell everything and gain profit,Don't know,False,Don't know,Don't know,"['Social Media', 'BlockChain', 'Entertainment']",medium
509,23-30,21-40%,40-80k,5-10%,2. Only source of profit,Regular (6month~1 year),7,"['Fund', 'ETF', 'Individual Stocks']",>80%,6,1. Sell everything and give up,2. Sell majority of stock and take some time before re-enter,Long term,Don't know,True,False,"['Real Estate', 'BlockChain', 'Traveling', 'Energy & Resources', 'Airline', 'Franchise', 'Retail']",medium
510,31-45,41-60%,20-40k,5-10%,3. As a part of experience :),Short Term (within 3 months),2,"['ETF', 'Individual Stocks', 'Leverage', 'Fund']",10-20%,9,"4. Volatility is inevitable, so only sell the weak assets",5. Keep the portfolio as is,Short term,Don't know,Don't know,True,"['Telecommunication', 'Luxury goods', 'Retail', 'Cloud Computing', 'Franchise', 'Energy & Resources', 'Entertainment', 'BlockChain', 'Airline', 'Semiconductors']",medium
511,23-30,41-60%,>80k,5-10%,1. Stock as a part of portfolio,Long (More than 3 years),6,"['ETF', 'Fund']",>80%,3,5. Remain calm and keep the portfolio as is,1. Sell everything and gain profit,Don't know,False,False,True,"['Airline', 'Traveling']",low
512,31-45,21-40%,20-40k,10-20%,1. Stock as a part of portfolio,Very short (1 month),3,"['ETF', 'Individual Stocks', 'Leverage', 'Fund']",0-10%,6,"4. Volatility is inevitable, so only sell the weak assets",2. Sell majority of stock and take some time before re-enter,Short term,False,True,True,"['Semiconductors', 'BlockChain']",medium
513,>65,0-20%,40-80k,10-20%,2. Only source of profit,Very short (1 month),2,"['ETF', 'Individual Stocks']",>80%,6,5. Remain calm and keep the portfolio as is,"3. Take out 50%, and wait for further growth",Short term,True,False,True,"['Semiconductors', 'Energy & Resources', 'Luxury goods', 'Retail', 'Airline', 'Franchise', 'Cloud Computing', 'Traveling', 'Entertainment', 'BlockChain', 'Real Estate', 'Telecommunication']",medium
514,23-30,61-80%,10-20k,10-20%,2. Only source of profit,Regular (6month~1 year),7,"['Fund', 'Individual Stocks']",20-40%,2,1. Sell everything and give up,"4. Volatility is inevitable, so only sell the least increased assets",Short term,Don't know,True,False,"['Traveling', 'Social Media', 'Energy & Resources', 'Semiconductors', 'Real Estate', 'Telecommunication', 'Franchise']",medium
515,31-45,0-20%,40-80k,0-5%,2. Only source of profit,Quite Long (1~3 year),9,"['Individual Stocks', 'Fund', 'Leverage', 'ETF']",40-80%,8,"3. Take out 50%, and wait before the rebound","3. Take out 50%, and wait for further growth",Long term,False,Don't know,Don't know,"['Franchise', 'Energy & Resources', 'Traveling']",medium
516,>65,0-20%,20-40k,over 30%,1. Stock as a part of portfolio,Quite Long (1~3 year),5,"['Fund', 'Leverage', 'ETF', 'Individual Stocks']",10-20%,8,5. Remain calm and keep the portfolio as is,5. Keep the portfolio as is,Don't know,False,False,Don't know,"['Airline', 'Real Estate', 'BlockChain', 'Social Media']",medium
517,18-22,0-20%,40-80k,5-10%,1. Stock as a part of portfolio,Regular (6month~1 year),4,"['Leverage', 'Individual Stocks', 'Fund']",>80%,3,"4. Volatility is inevitable, so only sell the weak assets",2. Sell majority of stock and take some time before re-enter,Long term,True,False,True,"['Real Estate', 'Entertainment', 'Franchise', 'Cloud Computing', 'Airline', 'Retail', 'Telecommunication', 'BlockChain', 'Energy & Resources', 'Social Media']",low
518,46-65,41-60%,>80k,10-20%,2. Only source of profit,Long (More than 3 years),1,"['ETF', 'Leverage', 'Individual Stocks']",40-80%,3,"4. Volatility is inevitable, so only sell the weak assets","3. Take out 50%, and wait for further growth",Don't know,Don't know,True,Don't know,['Cloud Computing'],medium
519,23-30,61-80%,0-10k,0-5%,3. As a part of experience :),Long (More than 3 years),4,"['Fund', 'ETF', 'Leverage']",>80%,9,5. Remain calm and keep the portfolio as is,"4. Volatility is inevitable, so only sell the least increased assets",Don't know,Don't know,False,Don't know,"['Retail', 'Telecommunication', 'Energy & Resources', 'Cloud Computing', 'BlockChain', 'Entertainment', 'Airline']",medium
520,>65,81-100%,10-20k,0-5%,1. Stock as a part of portfolio,Very short (1 month),1,"['Leverage', 'ETF', 'Individual Stocks']",0-10%,5,1. Sell everything and give up,5. Keep the portfolio as is,Short term,True,True,Don't know,['Franchise'],high
521,31-45,81-100%,10-20k,over 30%,1. Stock as a part of portfolio,Regular (6month~1 year),7,"['ETF', 'Fund']",>80%,1,1. Sell everything and give up,"4. Volatility is inevitable, so only sell the least increased assets",Short term,False,True,True,"['Real Estate', 'Retail', 'Traveling', 'BlockChain']",medium
522,23-30,0-20%,10-20k,5-10%,3. As a part of experience :),Short Term (within 3 months),6,"['ETF', 'Individual Stocks', 'Leverage', 'Fund']",10-20%,1,"3. Take out 50%, and wait before the rebound","3. Take out 50%, and wait for further growth",Long term,Don't know,False,Don't know,"['Energy & Resources', 'Cloud Computing', 'Entertainment', 'BlockChain', 'Real Estate', 'Social Media', 'Semiconductors', 'Luxury goods', 'Traveling']",low
523,46-65,41-60%,40-80k,20-30%,3. As a part of experience :),Long (More than 3 years),4,"['Fund', 'Leverage', 'Individual Stocks', 'ETF']",>80%,3,"3. Take out 50%, and wait before the rebound",1. Sell everything and gain profit,Short term,True,True,False,"['Luxury goods', 'Social Media', 'Franchise', 'Real Estate', 'Telecommunication']",high
524,31-45,21-40%,10-20k,5-10%,1. Stock as a part of portfolio,Quite Long (1~3 year),1,['ETF'],>80%,10,1. Sell everything and give up,1. Sell everything and gain profit,Don't know,Don't know,True,Don't know,"['Energy & Resources', 'Luxury goods', 'Traveling', 'Franchise', 'Entertainment', 'Cloud Computing']",medium
525,18-22,61-80%,40-80k,0-5%,3. As a part of experience :),Very short (1 month),2,"['Leverage', 'ETF', 'Fund', 'Individual Stocks']",20-40%,5,5. Remain calm and keep the portfolio as is,"4. Volatility is inevitable, so only sell the least increased assets",Short term,Don't know,Don't know,False,"['Retail', 'Social Media']",medium
526,46-65,81-100%,40-80k,0-5%,3. As a part of experience :),Quite Long (1~3 year),10,"['Leverage', 'ETF', 'Individual Stocks']",0-10%,10,"3. Take out 50%, and wait before the rebound",1. Sell everything and gain profit,Short term,True,Don't know,False,"['Luxury goods', 'Retail', 'Cloud Computing', 'Energy & Resources', 'Airline']",high
527,23-30,0-20%,20-40k,0-5%,2. Only source of profit,Quite Long (1~3 year),9,"['ETF', 'Leverage']",0-10%,7,"4. Volatility is inevitable, so only sell the weak assets",5. Keep the portfolio as is,Long term,Don't know,Don't know,False,"['Semiconductors', 'Traveling', 'Energy & Resources', 'Franchise', 'Real Estate', 'Airline', 'Telecommunication', 'Retail', 'Social Media', 'Luxury goods', 'Entertainment', 'Cloud Computing', 'BlockChain']",medium
528,31-45,81-100%,>80k,5-10%,2. Only source of profit,Quite Long (1~3 year),2,"['Fund', 'Leverage', 'Individual Stocks']",>80%,1,5. Remain calm and keep the portfolio as is,2. Sell majority of stock and take some time before re-enter,Long term,Don't know,False,Don't know,"['Entertainment', 'BlockChain', 'Semiconductors', 'Social Media', 'Franchise', 'Telecommunication', 'Airline', 'Traveling']",medium
529,18-22,41-60%,40-80k,10-20%,3. As a part of experience :),Short Term (within 3 months),2,['ETF'],>80%,2,5. Remain calm and keep the portfolio as is,2. Sell majority of stock and take some time before re-enter,Short term,True,Don't know,True,"['Airline', 'Entertainment', 'Retail', 'Cloud Computing', 'Luxury goods', 'Social Media', 'Traveling', 'BlockChain', 'Semiconductors', 'Franchise']",medium
530,31-45,21-40%,>80k,10-20%,3. As a part of experience :),Very short (1 month),7,"['Fund', 'Leverage', 'Individual Stocks', 'ETF']",0-10%,1,5. Remain calm and keep the portfolio as is,"3. Take out 50%, and wait for further growth",Short term,True,Don't know,True,"['Franchise', 'Luxury goods', 'Retail']",medium
531,46-65,21-40%,10-20k,0-5%,1. Stock as a part of portfolio,Short Term (within 3 months),4,"['ETF', 'Leverage', 'Individual Stocks', 'Fund']",10-20%,4,"3. Take out 50%, and wait before the rebound",1. Sell everything and gain profit,Long term,Don't know,Don't know,False,['Entertainment'],medium
532,46-65,81-100%,>80k,0-5%,3. As a part of experience :),Regular (6month~1 year),1,"['Leverage', 'Fund', 'ETF']",>80%,4,"3. Take out 50%, and wait before the rebound",1. Sell everything and gain profit,Long term,Don't know,Don't know,Don't know,"['Cloud Computing', 'Traveling', 'Semiconductors', 'Telecommunication', 'Retail', 'Entertainment', 'Social Media', 'Franchise', 'BlockChain', 'Airline', 'Energy & Resources', 'Real Estate']",low
533,31-45,81-100%,10-20k,over 30%,1. Stock as a part of portfolio,Short Term (within 3 months),3,"['Leverage', 'Fund', 'ETF']",40-80%,6,"4. Volatility is inevitable, so only sell the weak assets",5. Keep the portfolio as is,Long term,False,False,True,"['Real Estate', 'Social Media', 'Telecommunication', 'Semiconductors', 'Entertainment', 'Luxury goods', 'Cloud Computing', 'Airline', 'Retail', 'BlockChain']",medium
534,31-45,0-20%,20-40k,over 30%,1. Stock as a part of portfolio,Very short (1 month),5,['ETF'],>80%,10,2. Sell majority of stock and take some time before re-enter,"4. Volatility is inevitable, so only sell the least increased assets",Long term,True,Don't know,False,"['Energy & Resources', 'Traveling', 'Airline', 'Social Media', 'BlockChain', 'Retail', 'Luxury goods', 'Franchise', 'Semiconductors', 'Real Estate']",medium
535,46-65,21-40%,20-40k,5-10%,3. As a part of experience :),Regular (6month~1 year),10,"['Leverage', 'Individual Stocks', 'Fund', 'ETF']",20-40%,9,"3. Take out 50%, and wait before the rebound",5. Keep the portfolio as is,Short term,False,True,Don't know,['Social Media'],high
536,31-45,0-20%,>80k,over 30%,2. Only source of profit,Regular (6month~1 year),10,['Fund'],0-10%,4,5. Remain calm and keep the portfolio as is,1. Sell everything and gain profit,Long term,True,False,False,"['Telecommunication', 'Traveling', 'Franchise', 'Airline', 'Retail', 'Semiconductors', 'Social Media', 'Energy & Resources']",medium
537,23-30,21-40%,>80k,over 30%,3. As a part of experience :),Quite Long (1~3 year),5,"['ETF', 'Leverage', 'Fund']",>80%,1,"4. Volatility is inevitable, so only sell the weak assets","3. Take out 50%, and wait for further growth",Short term,Don't know,False,False,"['Luxury goods', 'Energy & Resources', 'Entertainment']",medium
538,18-22,21-40%,0-10k,5-10%,2. Only source of profit,Regular (6month~1 year),8,"['ETF', 'Individual Stocks']",20-40%,6,1. Sell everything and give up,"3. Take out 50%, and wait for further growth",Long term,True,False,True,"['Traveling', 'Energy & Resources', 'Semiconductors', 'Social Media', 'Real Estate', 'Telecommunication', 'Entertainment', 'Luxury goods', 'Retail']",medium
539,23-30,61-80%,20-40k,10-20%,2. Only source of profit,Quite Long (1~3 year),1,"['Leverage', 'ETF', 'Fund']",0-10%,1,2. Sell majority of stock and take some time before re-enter,5. Keep the portfolio as is,Short term,False,Don't know,Don't know,"['Franchise', 'Social Media', 'Airline', 'Entertainment', 'Retail', 'Luxury goods']",medium
540,>65,41-60%,10-20k,20-30%,1. Stock as a part of portfolio,Very short (1 month),3,"['Fund', 'ETF']",20-40%,3,2. Sell majority of stock and take some time before re-enter,5. Keep the portfolio as is,Long term,False,True,Don't know,"['Airline', 'Franchise', 'Energy & Resources', 'Semiconductors', 'Cloud Computing', 'Social Media', 'BlockChain', 'Real Estate', 'Entertainment', 'Retail', 'Traveling', 'Luxury goods', 'Telecommunication']",medium
541,23-30,0-20%,>80k,10-20%,1. Stock as a part of portfolio,Regular (6month~1 year),9,"['Individual Stocks', 'Leverage']",0-10%,7,"3. Take out 50%, and wait before the rebound",5. Keep the portfolio as is,Don't know,True,Don't know,Don't know,"['BlockChain', 'Cloud Computing', 'Real Estate', 'Luxury goods', 'Semiconductors', 'Social Media', 'Telecommunication', 'Traveling', 'Retail', 'Airline', 'Entertainment', 'Energy & Resources', 'Franchise']",medium
542,31-45,81-100%,20-40k,over 30%,3. As a part of experience :),Regular (6month~1 year),9,"['Individual Stocks', 'ETF', 'Leverage', 'Fund']",0-10%,3,1. Sell everything and give up,"4. Volatility is inevitable, so only sell the least increased assets",Long term,False,True,False,"['Retail', 'Airline']",medium
543,31-45,41-60%,40-80k,over 30%,2. Only source of profit,Very short (1 month),6,"['ETF', 'Fund', 'Leverage', 'Individual Stocks']",20-40%,8,1. Sell everything and give up,1. Sell everything and gain profit,Don't know,Don't know,True,False,['Telecommunication'],high
544,46-65,61-80%,10-20k,0-5%,2. Only source of profit,Short Term (within 3 months),7,['Individual Stocks'],10-20%,4,2. Sell majority of stock and take some time before re-enter,1. Sell everything and gain profit,Long term,True,False,True,"['Airline', 'Entertainment', 'Energy & Resources', 'Telecommunication', 'Luxury goods', 'Real Estate', 'Retail']",medium
545,>65,41-60%,0-10k,over 30%,1. Stock as a part of portfolio,Regular (6month~1 year),3,"['ETF', 'Leverage', 'Fund', 'Individual Stocks']",>80%,6,1. Sell everything and give up,2. Sell majority of stock and take some time before re-enter,Long term,False,Don't know,True,"['Telecommunication', 'Luxury goods', 'BlockChain', 'Franchise', 'Entertainment', 'Traveling', 'Real Estate']",medium
546,>65,41-60%,40-80k,0-5%,2. Only source of profit,Quite Long (1~3 year),9,"['Fund', 'Leverage', 'ETF']",>80%,1,1. Sell everything and give up,"4. Volatility is inevitable, so only sell the least increased assets",Short term,Don't know,False,False,"['Real Estate', 'BlockChain', 'Traveling', 'Cloud Computing', 'Energy & Resources', 'Telecommunication', 'Airline', 'Social Media']",medium
547,23-30,41-60%,20-40k,5-10%,2. Only source of profit,Short Term (within 3 months),10,"['Fund', 'Leverage']",10-20%,10,5. Remain calm and keep the portfolio as is,2. Sell majority of stock and take some time before re-enter,Long term,Don't know,True,Don't know,"['BlockChain', 'Semiconductors', 'Traveling', 'Airline', 'Real Estate', 'Franchise', 'Social Media', 'Energy & Resources', 'Entertainment', 'Cloud Computing', 'Luxury goods']",medium
548,18-22,0-20%,40-80k,over 30%,1. Stock as a part of portfolio,Short Term (within 3 months),8,"['Leverage', 'Fund', 'Individual Stocks', 'ETF']",20-40%,5,1. Sell everything and give up,"4. Volatility is inevitable, so only sell the least increased assets",Don't know,Don't know,Don't know,True,"['Semiconductors', 'Airline', 'BlockChain', 'Cloud Computing', 'Energy & Resources', 'Franchise', 'Telecommunication']",medium
549,46-65,81-100%,10-20k,over 30%,3. As a part of experience :),Very short (1 month),10,['Fund'],20-40%,5,2. Sell majority of stock and take some time before re-enter,"3. Take out 50%, and wait for further growth",Long term,True,True,False,"['BlockChain', 'Energy & Resources', 'Cloud Computing', 'Traveling', 'Retail', 'Franchise', 'Social Media', 'Entertainment', 'Luxury goods']",medium
550,23-30,0-20%,0-10k,10-20%,3. As a part of experience :),Very short (1 month),6,"['Leverage', 'Fund']",10-20%,6,"3. Take out 50%, and wait before the rebound",2. Sell majority of stock and take some time before re-enter,Long term,False,Don't know,True,"['Social Media', 'BlockChain', 'Retail', 'Airline']",low
551,31-45,81-100%,40-80k,5-10%,2. Only source of profit,Short Term (within 3 months),4,['Individual Stocks'],40-80%,5,"4. Volatility is inevitable, so only sell the weak assets",5. Keep the portfolio as is,Long term,False,True,Don't know,"['Real Estate', 'Telecommunication', 'Luxury goods', 'Traveling', 'Cloud Computing', 'Entertainment', 'Social Media', 'Retail', 'Semiconductors']",medium
552,31-45,61-80%,10-20k,10-20%,1. Stock as a part of portfolio,Very short (1 month),7,['Leverage'],20-40%,2,1. Sell everything and give up,2. Sell majority of stock and take some time before re-enter,Don't know,True,Don't know,Don't know,"['Real Estate', 'Semiconductors', 'BlockChain', 'Traveling']",medium
553,23-30,81-100%,10-20k,0-5%,3. As a part of experience :),Very short (1 month),7,['Individual Stocks'],40-80%,7,2. Sell majority of stock and take some time before re-enter,5. Keep the portfolio as is,Don't know,Don't know,True,Don't know,"['Entertainment', 'Telecommunication', 'Traveling', 'Airline']",medium
554,>65,41-60%,>80k,5-10%,1. Stock as a part of portfolio,Regular (6month~1 year),2,"['Fund', 'Individual Stocks', 'ETF', 'Leverage']",10-20%,2,1. Sell everything and give up,"4. Volatility is inevitable, so only sell the least increased assets",Don't know,True,False,False,"['Retail', 'Entertainment', 'Luxury goods', 'Semiconductors', 'Social Media', 'Cloud Computing']",medium
555,46-65,61-80%,10-20k,0-5%,3. As a part of experience :),Quite Long (1~3 year),1,"['Fund', 'Individual Stocks', 'Leverage', 'ETF']",20-40%,10,1. Sell everything and give up,2. Sell majority of stock and take some time before re-enter,Short term,False,True,Don't know,"['Luxury goods', 'Traveling', 'Entertainment']",medium
556,31-45,41-60%,0-10k,5-10%,2. Only source of profit,Long (More than 3 years),9,['ETF'],20-40%,5,"3. Take out 50%, and wait before the rebound","3. Take out 50%, and wait for further growth",Long term,True,Don't know,False,"['Social Media', 'Traveling', 'BlockChain', 'Cloud Computing', 'Entertainment', 'Semiconductors']",medium
557,46-65,21-40%,>80k,20-30%,1. Stock as a part of portfolio,Short Term (within 3 months),2,"['Individual Stocks', 'Fund', 'ETF']",0-10%,1,"3. Take out 50%, and wait before the rebound",5. Keep the portfolio as is,Long term,Don't know,False,True,"['Franchise', 'Entertainment', 'Traveling', 'Cloud Computing', 'Telecommunication', 'Social Media', 'Luxury goods', 'BlockChain', 'Retail', 'Energy & Resources', 'Semiconductors', 'Airline', 'Real Estate']",low
558,>65,21-40%,40-80k,0-5%,2. Only source of profit,Long (More than 3 years),3,"['ETF', 'Leverage', 'Fund']",0-10%,8,5. Remain calm and keep the portfolio as is,1. Sell everything and gain profit,Don't know,Don't know,False,False,"['Entertainment', 'BlockChain', 'Social Media', 'Franchise', 'Luxury goods', 'Traveling', 'Cloud Computing', 'Semiconductors', 'Retail', 'Airline', 'Telecommunication']",medium
